crop,N,P,K,temperature,humidity,ph,rainfall,soil_type,family
rice,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,,Poaceae
rice,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,,Poaceae
rice,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,,Poaceae
rice,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,,Poaceae
rice,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,,Poaceae
rice,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,,Poaceae
rice,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,,Poaceae
rice,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,,Poaceae
rice,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,,Poaceae
rice,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,,Poaceae
rice,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,,Poaceae
rice,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,,Poaceae
rice,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,,Poaceae
rice,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,,Poaceae
rice,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,,Poaceae
rice,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,,Poaceae
rice,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,,Poaceae
rice,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,,Poaceae
rice,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,,Poaceae
rice,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,,Poaceae
rice,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,,Poaceae
rice,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,,Poaceae
rice,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,,Poaceae
rice,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,,Poaceae
rice,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,,Poaceae
rice,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,,Poaceae
rice,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,,Poaceae
rice,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,,Poaceae
rice,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,,Poaceae
rice,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,,Poaceae
rice,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,,Poaceae
rice,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,,Poaceae
rice,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,,Poaceae
rice,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,,Poaceae
rice,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,,Poaceae
rice,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,,Poaceae
rice,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,,Poaceae
rice,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,,Poaceae
rice,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,,Poaceae
rice,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,,Poaceae
rice,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,,Poaceae
rice,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,,Poaceae
rice,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,,Poaceae
rice,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,,Poaceae
rice,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,,Poaceae
rice,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,,Poaceae
rice,76,49,42,24.958779,84.47963372,5.206373153,196.9560008,,Poaceae
rice,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,,Poaceae
rice,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,,Poaceae
rice,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,,Poaceae
rice,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,,Poaceae
rice,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,,Poaceae
rice,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,,Poaceae
rice,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,,Poaceae
rice,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,,Poaceae
rice,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,,Poaceae
rice,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,,Poaceae
rice,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,,Poaceae
rice,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,,Poaceae
rice,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,,Poaceae
rice,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,,Poaceae
rice,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,,Poaceae
rice,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,,Poaceae
rice,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,,Poaceae
rice,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,,Poaceae
rice,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,,Poaceae
